"","type","DENSITY","DEGREE","CLUSTERING","MODULARITY","MEAN_DISTANCE"
"1","FULL",1,323,1,-1.25089825650515e-16,1
"2","SMALLWORLD",0.0928792569659443,30,0.536788942804193,0.473741659469255,2.36391086649085
"3","DEGREE",0.0928792569659443,30,0.0883780332056194,0.140919829294315,1.95317815235256
"4","CLUSTERED",0.0928792569659443,30,0.511210857126751,0.408305898491083,2.79887627565646
"5","MODULAR",0.0925734816343691,29.9012345679012,0.769862583207154,0.859161324658836,2.64648549478271
"6","MOD_CLUST",0.0925352597179223,29.8888888888889,0.775549556498265,0.859149111937215,2.65936628062531
"7","MULTILEVEL",0.0920192638458892,29.7222222222222,0.784423351969835,0.864589823468328,2.9136758017047
