"","type","DENSITY","DEGREE","CLUSTERING","MODULARITY","MEAN_DISTANCE"
"1","FULL",1,323,1,-1.25089825650515e-16,1
"2","SMALLWORLD",0.0371517027863777,12,0.516142499304203,0.623902262316043,3.3432519206513
"3","DEGREE",0.0371517027863777,12,0.0297418630751964,0.248704465782656,2.59727477735734
"4","CLUSTERED",0.0371517027863777,12,0.454545454545455,0.547972869989331,4.76470588235294
"5","MODULAR",0.037037037037037,11.962962962963,0.232213438735178,0.814584950812653,3.25230287046593
"6","MOD_CLUST",0.0371517027863777,12,0.411447686303661,0.814814814814815,3.4367427282804
"7","MULTILEVEL",0.0366357069143447,11.8333333333333,0.423650975889782,0.827856025039124,3.89508083935329
