"","type","DENSITY","DEGREE","CLUSTERING","MODULARITY","MEAN_DISTANCE"
"1","FULL",1,143,1,2.53703308361608e-17,1
"2","SMALLWORLD",0.0839160839160839,12,0.480424822990421,0.520460256987311,2.67210567210567
"3","DEGREE",0.0839160839160839,12,0.0707070707070707,0.230516975308642,2.24825174825175
"4","CLUSTERED",0.0839160839160839,12,0.454545454545455,0.460551697530864,3.27272727272727
"5","MODULAR",0.0826534576534576,11.8194444444444,0.239856801909308,0.686541443604745,2.70697358197358
"6","MOD_CLUST",0.0839160839160839,12,0.399644202595228,0.688656737611454,2.94570707070707
"7","MULTILEVEL",0.0839160839160839,12,0.388022457891454,0.666665996870714,3.0232128982129
