"","type","DENSITY","DEGREE","CLUSTERING","MODULARITY","MEAN_DISTANCE"
"1","FULL",1,323,1,-1.25089825650515e-16,1
"2","SMALLWORLD",0.0247678018575851,8,0.48202614379085,0.66138599537037,4.16215648052593
"3","DEGREE",0.0247678018575851,8,0.0238095238095238,0.323026215515927,3.02541757443718
"4","CLUSTERED",0.0247678018575851,8,0.428571428571429,0.626790885535741,6.02786377708978
"5","MODULAR",0.0246913580246914,7.97530864197531,0.11379769299024,0.712415771262065,3.55610977334404
"6","MOD_CLUST",0.0247678018575851,8,0.317666126418152,0.776999028349336,3.93586362420212
"7","MULTILEVEL",0.0247678018575851,8,0.342430149447693,0.798611111111111,4.51962695409548
