"","type","DENSITY","DEGREE","CLUSTERING","MODULARITY","MEAN_DISTANCE"
"1","FULL",1,143,1,2.53703308361608e-17,1
"2","SMALLWORLD",0.125874125874126,18,0.542819737257912,0.48050774700884,2.36742424242424
"3","DEGREE",0.125874125874126,18,0.110974945533769,0.175733024691358,1.94327894327894
"4","CLUSTERED",0.125874125874126,18,0.481555063891272,0.368596452998781,2.51719114219114
"5","MODULAR",0.124514374514375,17.8055555555556,0.418213026535535,0.707878315132605,2.47882672882673
"6","MOD_CLUST",0.125874125874126,18,0.503484242233512,0.711419455399329,2.59469696969697
"7","MULTILEVEL",0.125874125874126,18,0.490968061624397,0.695987356633897,2.73455710955711
