"","type","DENSITY","DEGREE","CLUSTERING","MODULARITY","MEAN_DISTANCE"
"1","FULL",1,323,1,-1.25089825650515e-16,1
"2","SMALLWORLD",0.0557275541795666,18,0.512636536727127,0.55228902408734,2.75109888009785
"3","DEGREE",0.0557275541795666,18,0.0478092471556524,0.19149138850785,2.28826969384245
"4","CLUSTERED",0.0557275541795666,18,0.482119178687668,0.437180997043887,3.59803921568627
"5","MODULAR",0.0555555555555556,17.9444444444444,0.414565826330532,0.839352811837292,2.96061231510148
"6","MOD_CLUST",0.0557275541795666,18,0.513467846138555,0.842592122173487,3.10333295111417
"7","MULTILEVEL",0.0557275541795666,18,0.525703027046391,0.850136821396919,3.48906853189619
