"","type","DENSITY","DEGREE","CLUSTERING","MODULARITY","MEAN_DISTANCE"
"1","FULL",1,63,1,-5.55111512312578e-17,1
"2","SMALLWORLD",0.19047619047619,12,0.495658296174607,0.404028998480903,2.17311507936508
"3","DEGREE",0.19047619047619,12,0.157670454545455,0.20947265625,1.86607142857143
"4","CLUSTERED",0.19047619047619,12,0.454545454545455,0.33642578125,2.28571428571429
"5","MODULAR",0.188492063492063,11.875,0.608558994197292,0.686814404432133,2.31795634920635
"6","MOD_CLUST",0.1875,11.8125,0.616448326055313,0.686500937823689,2.33779761904762
"7","MULTILEVEL",0.185019841269841,11.65625,0.634601043997017,0.699041896369556,2.56299603174603
