"","type","DENSITY","DEGREE","CLUSTERING","MODULARITY","MEAN_DISTANCE"
"1","FULL",1,323,1,-1.25089825650515e-16,1
"2","SMALLWORLD",0.0928792569659443,30,0.538036558105317,0.45926273095226,2.36536329931583
"3","DEGREE",0.0928792569659443,30,0.0871647509578544,0.137642889803384,1.95210793869205
"4","CLUSTERED",0.0928792569659443,30,0.511210857126751,0.408305898491083,2.79887627565646
"5","MODULAR",0.0925352597179223,29.8888888888889,0.769149939955395,0.859149111937214,2.64667660436494
"6","MOD_CLUST",0.0925352597179223,29.8888888888889,0.775549556498265,0.859149111937215,2.65936628062531
"7","MULTILEVEL",0.0920192638458892,29.7222222222222,0.784423351969835,0.864589823468328,2.9136758017047
