"","type","DENSITY","DEGREE","CLUSTERING","MODULARITY","MEAN_DISTANCE"
"1","FULL",1,143,1,2.53703308361608e-17,1
"2","SMALLWORLD",0.0559440559440559,8,0.525902283329241,0.63000186873071,3.67657342657343
"3","DEGREE",0.0559440559440559,8,0.0431547619047619,0.311824845679012,2.59722222222222
"4","CLUSTERED",0.0559440559440559,8,0.428571428571429,0.488715277777778,4.04195804195804
"5","MODULAR",0.0547785547785548,7.83333333333333,0.123447204968944,0.654245888033801,2.98203185703186
"6","MOD_CLUST",0.0559440559440559,8,0.322896281800391,0.659716194058642,3.34314296814297
"7","MULTILEVEL",0.0559440559440559,8,0.314873035066505,0.620845088252315,3.48659673659674
