"","type","DENSITY","DEGREE","CLUSTERING","MODULARITY","MEAN_DISTANCE"
"1","FULL",1,143,1,2.53703308361608e-17,1
"2","SMALLWORLD",0.167832167832168,24,0.553687744262952,0.411460175272205,2.10965423465423
"3","DEGREE",0.167832167832168,24,0.150664251207729,0.14014274691358,1.83945221445221
"4","CLUSTERED",0.167832167832168,24,0.521739130434783,0.334780092592592,2.27272727272727
"5","MODULAR",0.166375291375291,23.7916666666667,0.59479182670149,0.718476101676374,2.36043123543124
"6","MOD_CLUST",0.167832167832168,24,0.607146446879083,0.718749665102023,2.40258352758353
"7","MULTILEVEL",0.167832167832168,24,0.586828901154039,0.706018016171554,2.55244755244755
