"","type","DENSITY","DEGREE","CLUSTERING","MODULARITY","MEAN_DISTANCE"
"1","FULL",1,143,1,2.53703308361608e-17,1
"2","SMALLWORLD",0.0839160839160839,12,0.476903870162297,0.524827996399177,2.68142968142968
"3","DEGREE",0.0839160839160839,12,0.071969696969697,0.233024691358025,2.2465034965035
"4","CLUSTERED",0.0839160839160839,12,0.454545454545455,0.460551697530864,3.27272727272727
"5","MODULAR",0.0825563325563326,11.8055555555556,0.234232274902131,0.686467820069204,2.70813908313908
"6","MOD_CLUST",0.0822649572649573,11.7638888888889,0.398736245778407,0.68624452718045,2.95143745143745
"7","MULTILEVEL",0.0839160839160839,12,0.387699979222938,0.660877620241769,3.0208818958819
