"","type","DENSITY","DEGREE","CLUSTERING","MODULARITY","MEAN_DISTANCE"
"1","FULL",1,143,1,2.53703308361608e-17,1
"2","SMALLWORLD",0.167832167832168,24,0.529367526509739,0.423452369470164,2.06925019425019
"3","DEGREE",0.167832167832168,24,0.159420289855072,0.152391975308642,1.84013209013209
"4","CLUSTERED",0.167832167832168,24,0.521739130434783,0.334780092592592,2.27272727272727
"5","MODULAR",0.166181041181041,23.7638888888889,0.596119295724039,0.718439252869578,2.36208236208236
"6","MOD_CLUST",0.166181041181041,23.7638888888889,0.598830949084756,0.718439252869578,2.40472027972028
"7","MULTILEVEL",0.167832167832168,24,0.585958663589846,0.704860776213135,2.54963092463092
