"","type","DENSITY","DEGREE","CLUSTERING","MODULARITY","MEAN_DISTANCE"
"1","FULL",1,63,1,-5.55111512312578e-17,1
"2","SMALLWORLD",0.126984126984127,8,0.474464579901153,0.502159118652344,2.59126984126984
"3","DEGREE",0.126984126984127,8,0.10546875,0.27392578125,2.18650793650794
"4","CLUSTERED",0.126984126984127,8,0.428571428571429,0.37890625,2.73015873015873
"5","MODULAR",0.125,7.875,0.314516129032258,0.654730410682792,2.59573412698413
"6","MOD_CLUST",0.125,7.875,0.323153803442532,0.654730410682792,2.59970238095238
"7","MULTILEVEL",0.124503968253968,7.84375,0.35108153078203,0.674290884271678,2.85019841269841
