"","type","DENSITY","DEGREE","CLUSTERING","MODULARITY","MEAN_DISTANCE"
"1","FULL",1,63,1,-5.55111512312578e-17,1
"2","SMALLWORLD",0.19047619047619,12,0.514225252762756,0.445492214626736,2.18353174603175
"3","DEGREE",0.19047619047619,12,0.164772727272727,0.189615885416667,1.85119047619048
"4","CLUSTERED",0.19047619047619,12,0.454545454545455,0.33642578125,2.28571428571429
"5","MODULAR",0.1875,11.8125,0.604838709677419,0.686500937823689,2.32390873015873
"6","MOD_CLUST",0.1875,11.8125,0.616448326055313,0.686500937823689,2.33779761904762
"7","MULTILEVEL",0.185019841269841,11.65625,0.634601043997017,0.699041896369556,2.56299603174603
