"","type","DENSITY","DEGREE","CLUSTERING","MODULARITY","MEAN_DISTANCE"
"1","FULL",1,323,1,-1.25089825650515e-16,1
"2","SMALLWORLD",0.0743034055727554,24,0.530213448241307,0.519404336070467,2.51968428697015
"3","DEGREE",0.0743034055727554,24,0.0665593129361245,0.155130696540162,2.07080610021786
"4","CLUSTERED",0.0743034055727554,24,0.521739130434783,0.421239140374942,3.26625386996904
"5","MODULAR",0.0740549631158506,23.9197530864198,0.589996172291896,0.851727317377732,2.75213087184191
"6","MOD_CLUST",0.0729274165806674,23.5555555555556,0.593654327859727,0.851153039832285,2.89011199021519
"7","MULTILEVEL",0.0724114207086343,23.3888888888889,0.602287166454892,0.858010029031406,3.16613155983641
