"","type","DENSITY","DEGREE","CLUSTERING","MODULARITY","MEAN_DISTANCE"
"1","FULL",1,323,1,-1.25089825650515e-16,1
"2","SMALLWORLD",0.0557275541795666,18,0.513765889511416,0.550052651658415,2.75669839085732
"3","DEGREE",0.0557275541795666,18,0.0499273783587509,0.195797134583143,2.29062034170393
"4","CLUSTERED",0.0612315101479188,19.7777777777778,0.534369396294083,0.447584635934171,3.56793945648435
"5","MODULAR",0.0556128884302259,17.962962962963,0.417416140009723,0.839403880445437,2.96110920001529
"6","MOD_CLUST",0.0584795321637427,18.8888888888889,0.538011695906433,0.841830065359477,3.05087337079081
"7","MULTILEVEL",0.0579635362917097,18.7222222222222,0.547981469225678,0.850313221233102,3.43880671176853
