"","type","DENSITY","DEGREE","CLUSTERING","MODULARITY","MEAN_DISTANCE"
"1","FULL",1,63,1,-5.55111512312578e-17,1
"2","SMALLWORLD",0.253968253968254,16,0.544148109787675,0.374565124511719,1.91964285714286
"3","DEGREE",0.253968253968254,16,0.232421875,0.16162109375,1.74950396825397
"4","CLUSTERED",0.253968253968254,16,0.461656835085919,0.274965286254883,1.88343253968254
"5","MODULAR",0.25,15.75,0.903225806451613,0.702380952380952,2.17857142857143
"6","MOD_CLUST",0.25,15.75,0.903225806451613,0.702380952380952,2.17857142857143
"7","MULTILEVEL",0.247519841269841,15.59375,0.922412611377656,0.711920835659295,2.27728174603175
