"","type","DENSITY","DEGREE","CLUSTERING","MODULARITY","MEAN_DISTANCE"
"1","FULL",1,143,1,2.53703308361608e-17,1
"2","SMALLWORLD",0.0559440559440559,8,0.434740180531837,0.616311909239969,3.29652292152292
"3","DEGREE",0.0559440559440559,8,0.040922619047619,0.315007716049382,2.59459984459984
"4","CLUSTERED",0.0559440559440559,8,0.428571428571429,0.488715277777778,4.04195804195804
"5","MODULAR",0.0547785547785548,7.83333333333333,0.126552795031056,0.654252175443891,2.9756216006216
"6","MOD_CLUST",0.0542929292929293,7.76388888888889,0.311586638830898,0.653396526508812,3.3517871017871
"7","MULTILEVEL",0.0559440559440559,8,0.32492795389049,0.610622829861111,3.48970473970474
