"","type","DENSITY","DEGREE","CLUSTERING","MODULARITY","MEAN_DISTANCE"
"1","FULL",1,323,1,-1.25089825650515e-16,1
"2","SMALLWORLD",0.0371517027863777,12,0.500672011864485,0.630456141297905,3.2998891564423
"3","DEGREE",0.0371517027863777,12,0.0321268237934905,0.255601280292639,2.59763788556358
"4","CLUSTERED",0.0371517027863777,12,0.454545454545455,0.547972869989331,4.76470588235294
"5","MODULAR",0.0370752589534839,11.9753086419753,0.233987603305785,0.80429429269848,3.248289569239
"6","MOD_CLUST",0.0371517027863777,12,0.411447686303661,0.814814814814815,3.4367427282804
"7","MULTILEVEL",0.0366357069143447,11.8333333333333,0.423650975889782,0.827856025039124,3.89508083935329
