"","type","DENSITY","DEGREE","CLUSTERING","MODULARITY","MEAN_DISTANCE"
"1","FULL",1,143,1,2.53703308361608e-17,1
"2","SMALLWORLD",0.125874125874126,18,0.546205962059621,0.474770721402987,2.36043123543124
"3","DEGREE",0.125874125874126,18,0.10838779956427,0.17554012345679,1.94609557109557
"4","CLUSTERED",0.125874125874126,18,0.481555063891272,0.368596452998781,2.51719114219114
"5","MODULAR",0.124320124320124,17.7777777777778,0.415766939687267,0.707811889648438,2.4791181041181
"6","MOD_CLUST",0.124320124320124,17.7777777777778,0.487593395443225,0.707811889648437,2.58411033411033
"7","MULTILEVEL",0.125874125874126,18,0.476808654496281,0.689813028692273,2.72979797979798
