"","type","DENSITY","DEGREE","CLUSTERING","MODULARITY","MEAN_DISTANCE"
"1","FULL",1,323,1,-1.25089825650515e-16,1
"2","SMALLWORLD",0.0247678018575851,8,0.4653486856398,0.653432094002439,4.07470473569545
"3","DEGREE",0.0247678018575851,8,0.0218253968253968,0.322559442158207,3.02041050338264
"4","CLUSTERED",0.0247678018575851,8,0.428571428571429,0.626790885535741,6.02786377708978
"5","MODULAR",0.0246913580246914,7.97530864197531,0.119454303460515,0.648147926271699,3.56104040056568
"6","MOD_CLUST",0.0254557963536292,8.22222222222222,0.331288343558282,0.780780780780781,3.9068340786607
"7","MULTILEVEL",0.0249398004815961,8.05555555555556,0.346153846153846,0.791556495060261,4.51460077208271
